"","budgets","budgets_used","budgets_used_fraction"
"1",85,59.633,0.701564705882353
"2",95,47.4293055555556,0.499255847953216
"3",100,5.40225,0.0540225
"4",72,20.01,0.277916666666667
"5",28,17.6963015873016,0.632010770975057
"6",55,29.37075,0.534013636363636
"7",87,0,0
"8",78,33.7005833333333,0.432058760683761
"9",72,39.5756428571429,0.549661706349206
"10",81,49.7666071428571,0.614402557319224
"11",81,0,0
"12",58,21.3845,0.368698275862069
"13",51,21.111,0.413941176470588
"14",70,7.203,0.1029
"15",95,36.9380833333333,0.388821929824561
"16",68,20.5928333333333,0.302835784313726
"17",29,6.82825,0.235456896551724
"18",57,8.7795,0.154026315789474
