"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"rowVector",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,1
"rowVector",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12,2
"rowVector",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,3
"rowVector",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,4
"rowVector",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,5
"rowVector",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,6
"rowVector",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7
"rowVector",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17,8
"rowVector",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,9
"rowVector",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,10
"rowVector",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,11
"rowVector",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,12
"rowVector",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18,13
"rowVector",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14
"rowVector",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20,15
"rowVector",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14,16
"rowVector",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,17
"rowVector",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,18
"rowVector",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13,19
"rowVector",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,20
